vid_id,vid,frame,is_ds_keyframe,avg_cvs,C1,C2,C3,annotator_Dibesh_Shrestha_,annotator_Uttam_Laudari,annotator_Spandan_Adhikari,Conf_C1,Conf_C2,Conf_C3
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0005,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.0014633664395660162,0.0007314779213629663,0.0018620791379362345
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0010,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.0014578562695533037,0.0006991585833020508,0.0016552740707993507
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0015,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.0015335389180108905,0.0007136627100408077,0.0016560479998588562
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0020,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014289083192124963,0.0006699785008095205,0.0015623345971107483
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0025,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0015619343612343073,0.0007379945018328726,0.0017279922030866146
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0030,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014665883500128984,0.0006951820687390864,0.0016453281277790666
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0035,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014547512400895357,0.0006794700748287141,0.0015941885067149997
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0040,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0015628121327608824,0.0007192738121375442,0.0016564446268603206
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0045,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001779782003723085,0.0008806959958747029,0.002219241810962558
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0050,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001499796286225319,0.0007169514428824186,0.001714763231575489
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0055,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.0016951161669567227,0.0008875697385519743,0.0023566700983792543
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0060,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.0016728155314922333,0.0007640709518454969,0.0017559971893206239
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0065,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0016088379779830575,0.0008318269392475486,0.0021831474732607603
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0070,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0015415780944749713,0.0007296784897334874,0.0017288586823269725
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0075,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.00144797598477453,0.0006934923585504293,0.001650726655498147
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0080,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001614261302165687,0.0007507974514737725,0.0017625230830162764
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0085,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0017401145305484533,0.0008221403113566339,0.0019210039172321558
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0090,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0016166814602911472,0.0007516289479099214,0.0017435563495382667
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0095,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0016943063819780946,0.0008539142436347902,0.00218448368832469
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0100,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001985612092539668,0.0009566215449012816,0.00241307495161891
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0105,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0021570217795670033,0.0010132770985364914,0.0024402309209108353
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0110,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.0018818366806954145,0.0008458879310637712,0.0019497398752719164
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0115,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001687942654825747,0.0007998080109246075,0.0019188503501936793
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0120,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.0015860740095376968,0.0007570212474092841,0.0017687936779111624
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0125,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.0016002487391233444,0.0007514667813666165,0.0017553253564983606
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0130,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0023245797492563725,0.0011413373285904527,0.003031820524483919
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0135,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0017409678548574448,0.0008412114693783224,0.0019561108201742172
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0140,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.001447863643988967,0.0006901328451931477,0.0015516416169703007
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0145,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.00221828231588006,0.0009661115473136306,0.0022595191840082407
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0150,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.00397937698289752,0.0016399410087615252,0.0036314153112471104
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0155,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0034461189061403275,0.0015547822695225477,0.003735319012776017
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0160,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.0048674773424863815,0.0018599162576720119,0.0038573674391955137
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0165,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.0030661472119390965,0.0013233658391982317,0.0028049307875335217
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0170,True,"[0.6666666666666666, 0.0, 0.0]",1.0,0.0,0.0,"[0,0,0]","[1,0,0]","[1,0,0]",0.0022821961902081966,0.0010276330867782235,0.002385555300861597
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0175,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.004863792099058628,0.0016877641901373863,0.0026959520764648914
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0180,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0019195654895156622,0.000864328583702445,0.0019788851495832205
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0185,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0021883919835090637,0.0010389620438218117,0.0024394590873271227
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0190,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014660198939964175,0.0007267440669238567,0.0017853955505415797
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0195,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001428584335371852,0.000724226061720401,0.001729945419356227
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0200,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014496882213279605,0.0007277559489011765,0.0018174898577854037
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0205,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0016741114668548107,0.0008157367119565606,0.002036676974967122
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0210,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0015148903476074338,0.000776949804276228,0.0019874300342053175
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0215,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014098972314968705,0.0006808352191001177,0.00165158964227885
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0220,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0015014753444120288,0.0007167737931013107,0.00172556028701365
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0225,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001471710274927318,0.0006966896471567452,0.0016489499248564243
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0230,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014504492282867432,0.0006932125543244183,0.001649701502174139
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0235,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001608293387107551,0.000768712256103754,0.001810553134419024
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0240,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0015961440512910485,0.0007437036256305873,0.001753872842527926
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0245,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.001648975070565939,0.0007704333984293044,0.0018476257100701332
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0250,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.00270485901273787,0.0012178098550066352,0.0027341581881046295
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0255,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.004626572597771883,0.0017187242629006505,0.003388926386833191
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0260,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.010422754101455212,0.0027057090774178505,0.004721406847238541
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0265,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.002976745832711458,0.001259300741367042,0.002590531948953867
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0270,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.006061875727027655,0.0019102413207292557,0.0035316916182637215
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0275,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0029076668433845043,0.0012385654263198376,0.002615510718896985
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0280,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0014854691689833999,0.0007046436076052487,0.0016581678064540029
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0285,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.0019191836472600698,0.0008514486835338175,0.0019715651869773865
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0290,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.003335800254717469,0.001342209754511714,0.0027434597723186016
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0295,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.011000691913068295,0.00267636775970459,0.005215438082814217
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0300,True,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[0,0,0]",0.002606012159958482,0.001151141943410039,0.002632319927215576
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,0305,True,"[0.3333333333333333, 0.0, 0.0]",0.0,0.0,0.0,"[0,0,0]","[0,0,0]","[1,0,0]",0.015044041909277439,0.0034101803321391344,0.00630539283156395
